province_code,date,title,prize_codes,prize_order
KH79,31-7-2024,G1,03190,8
KH79,31-7-2024,ĐB,004781,9
KH79,4-8-2024,G8,40,0
KH79,4-8-2024,G7,919,1
KH79,4-8-2024,G6,0278 2369 6387,2
KH79,4-8-2024,G5,7439,3
KH79,4-8-2024,G4,46784 78030 95178 69603 28331 74576 54065,4
KH79,4-8-2024,G3,18617 36482,6
KH79,4-8-2024,G2,16610,7
KH79,4-8-2024,G1,47634,8
KH79,4-8-2024,ĐB,789860,9
KH79,7-8-2024,G8,61,0
KH79,7-8-2024,G7,467,1
KH79,7-8-2024,G6,7244 5002 8988,2
KH79,7-8-2024,G5,4731,3
KH79,7-8-2024,G4,86979 78184 63711 92970 29486 53733 71379,4
KH79,7-8-2024,G3,23817 88962,6
KH79,7-8-2024,G2,70507,7
KH79,7-8-2024,G1,40848,8
KH79,7-8-2024,ĐB,701722,9
KH79,11-8-2024,G8,20,0
KH79,11-8-2024,G7,073,1
KH79,11-8-2024,G6,5288 3391 9707,2
KH79,11-8-2024,G5,1288,3
KH79,11-8-2024,G4,11460 53854 86230 17846 92498 31287 21871,4
KH79,11-8-2024,G3,28962 90873,6
KH79,11-8-2024,G2,36996,7
KH79,11-8-2024,G1,58285,8
KH79,11-8-2024,ĐB,282354,9
KH79,14-8-2024,G8,58,0
KH79,14-8-2024,G7,655,1
KH79,14-8-2024,G6,9250 0050 9418,2
KH79,14-8-2024,G5,6529,3
KH79,14-8-2024,G4,45830 45548 16285 72263 89345 85632 13447,4
KH79,14-8-2024,G3,25260 50965,6
KH79,14-8-2024,G2,99551,7
KH79,14-8-2024,G1,29126,8
KH79,14-8-2024,ĐB,216727,9
KH79,18-8-2024,G8,71,0
KH79,18-8-2024,G7,092,1
KH79,18-8-2024,G6,6958 3941 3424,2
KH79,18-8-2024,G5,9615,3
KH79,18-8-2024,G4,67533 44125 94082 53995 53886 85196 92864,4
KH79,18-8-2024,G3,00842 82669,6
KH79,18-8-2024,G2,89308,7
KH79,18-8-2024,G1,40973,8
KH79,18-8-2024,ĐB,703638,9
KH79,21-8-2024,G8,10,0
KH79,21-8-2024,G7,209,1
KH79,21-8-2024,G6,2306 6729 2629,2
KH79,21-8-2024,G5,7118,3
KH79,21-8-2024,G4,63892 94469 07699 56812 00992 79969 81685,4
KH79,21-8-2024,G3,87090 02444,6
KH79,21-8-2024,G2,12576,7
KH79,21-8-2024,G1,11838,8
KH79,21-8-2024,ĐB,295291,9
KH79,25-8-2024,G8,47,0
KH79,25-8-2024,G7,120,1
KH79,25-8-2024,G6,4740 2514 0877,2
KH79,25-8-2024,G5,9626,3
KH79,25-8-2024,G4,08255 19068 13784 59879 46773 72010 54844,4
KH79,25-8-2024,G3,59762 80353,6
KH79,25-8-2024,G2,70081,7
KH79,25-8-2024,G1,40857,8
KH79,25-8-2024,ĐB,187633,9
KH79,28-8-2024,G8,43,0
KH79,28-8-2024,G7,617,1
KH79,28-8-2024,G6,0826 7539 9694,2
KH79,28-8-2024,G5,0813,3
KH79,28-8-2024,G4,63974 94487 71635 65943 26912 51731 66987,4
KH79,28-8-2024,G3,75820 36201,6
KH79,28-8-2024,G2,97738,7
KH79,28-8-2024,G1,25728,8
KH79,28-8-2024,ĐB,642386,9
KH79,4-9-2024,G8,95,0
KH79,4-9-2024,G7,033,1
KH79,4-9-2024,G6,7192 2586 7558,2
KH79,4-9-2024,G5,9451,3
KH79,4-9-2024,G4,22228 17476 00347 94037 91901 99073 02621,4
KH79,4-9-2024,G3,18996 12403,6
KH79,4-9-2024,G2,68941,7
KH79,4-9-2024,G1,06869,8
KH79,4-9-2024,ĐB,126015,9
KH79,8-9-2024,G8,77,0
KH79,8-9-2024,G7,977,1
KH79,8-9-2024,G6,5315 9940 7812,2
KH79,8-9-2024,G5,7322,3
KH79,8-9-2024,G4,56562 42346 00001 65135 11444 90930 23254,4
KH79,8-9-2024,G3,53741 25120,6
KH79,8-9-2024,G2,90125,7
KH79,8-9-2024,G1,91512,8
KH79,8-9-2024,ĐB,616209,9
KH79,11-9-2024,G8,23,0
KH79,11-9-2024,G7,110,1
KH79,11-9-2024,G6,9357 2718 0004,2
KH79,11-9-2024,G5,9883,3
KH79,11-9-2024,G4,64830 69355 69629 82587 53417 28575 41540,4
KH79,11-9-2024,G3,90874 36844,6
KH79,11-9-2024,G2,48462,7
KH79,11-9-2024,G1,39804,8
KH79,11-9-2024,ĐB,146986,9
KH79,15-9-2024,G8,58,0
KH79,15-9-2024,G7,139,1
KH79,15-9-2024,G6,1608 2350 0509,2
KH79,15-9-2024,G5,6908,3
KH79,15-9-2024,G4,46922 12736 86536 25797 45380 99585 90460,4
KH79,15-9-2024,G3,44629 24166,6
KH79,15-9-2024,G2,07736,7
KH79,15-9-2024,G1,74009,8
KH79,15-9-2024,ĐB,683737,9
KH79,18-9-2024,G8,27,0
KH79,18-9-2024,G7,917,1
